region,country,prosperity_2020,protesterviolence,partipants_number,pop_density,pop_total,labor_wage_dispute,land_farm_issue,police_brutality,political_behavior_process,price increases_tax_policy,removal_of_politician,social_restrictions,arrests,accomodation,beatings,crowddispersal,ignore,killings,shootings,protest_duration,violent_response,violent_count
Europe,Macedonia,61.0135495873,24.0,266450,6916.981000000006,174446.69,5,0,7,73,2,11,7,3,3,3,19,62,1,1,129,4,5
Europe,Moldova,57.1275574981,12.0,1136756,13713.486999999992,450488.06200000015,18,1,5,77,7,37,9,7,18,3,22,81,0,0,523,3,3
Europe,Montenegro,63.6762913304,3.0,36200,698.1400000000001,9389.960000000001,2,0,0,11,1,3,1,2,0,1,4,11,0,0,46,1,1
Europe,Netherlands,82.0376177514,2.0,53050,6213.882999999999,209532.08599999995,3,0,0,9,1,0,1,3,1,0,4,8,0,0,15,0,0
Europe,Norway,83.8147995593,1.0,43800,75.256,27488.409,2,0,0,3,1,0,0,1,0,0,0,5,0,0,7,0,0
Europe,Poland,69.1394311357,12.0,1316620,15265.15899999999,4674647.805999999,19,4,1,92,11,4,11,3,7,1,13,103,0,0,206,1,1
Europe,Portugal,74.0744235761,3.0,918350,3738.7300000000005,342430.0599999998,12,2,2,22,13,1,3,1,2,0,3,28,0,1,59,1,1
Europe,Romania,64.9180615375,26.0,2828500,20866.15999999996,4802766.4240000015,50,1,8,161,30,62,6,11,37,5,38,155,1,2,331,7,8
Europe,Russia,58.0383696135,15.0,3157418,1809.3149999999973,29630811.808000054,23,9,8,155,18,24,6,72,12,15,20,114,0,2,365,17,17
Europe,Serbia,62.4709908341,2.0,195500,3122.9480000000012,273132.874,0,0,2,26,0,18,4,3,0,1,4,27,0,0,33,1,1
Europe,Serbia and Montenegro,63.073641082250006,1.0,3000,151.90300000000005,19812.626,0,0,1,1,0,0,0,0,0,1,2,0,0,0,2,1,1
Europe,Slovak Republic,69.62524614899999,4.0,394780,4957.161999999998,238379.71899999984,3,3,10,31,1,9,3,2,3,1,4,36,0,0,47,1,1
Europe,Slovenia,74.5631495377,2.0,185350,2118.527,42667.130000000005,7,0,0,13,4,3,1,1,0,0,3,18,0,0,21,0,0
Europe,Spain,75.8365212244,36.0,16761850,14998.172000000033,7481091.79099999,28,7,19,133,10,4,9,21,5,1,33,124,0,1,247,2,2
Europe,Sweden,83.1459533905,2.0,18600,375.422,154050.45400000003,1,0,1,12,2,0,4,3,0,0,2,12,0,0,22,0,0
Europe,Switzerland,83.3487060813,1.0,48150,1815.2040000000002,71729.516,1,0,0,7,0,0,1,0,0,0,1,8,0,0,9,0,0
Europe,USSR,58.0383696135,9.0,1760771,3328.549000000001,17283679.110000007,0,0,0,57,1,7,1,1,7,4,3,47,2,1,85,6,7
Europe,Ukraine,55.7337890396,41.0,1136825,11781.848000000024,6825450.269000004,5,0,10,130,4,20,2,8,22,9,54,85,5,7,606,14,21
Europe,United Kingdom,80.0654420378,107.0,5726408,146920.2519999996,35544404.664999865,80,10,17,463,80,9,18,116,36,11,149,355,1,0,1153,12,12
Europe,Yugoslavia,64.38861633025,34.0,3178230,11280.570999999994,3120673.352,10,0,14,116,2,51,5,13,10,19,53,76,9,8,439,27,36
